Date,Close,High,Low,Open,Volume,Stock,MA_10,MA_50,RSI
2025-01-06 16:08:00+00:00,184.7899932861328,184.7899932861328,184.4550018310547,184.4550018310547,4459,EXPE,184.71850128173827,184.60399078369142,-2272.399445214979
2025-01-06 16:10:00+00:00,184.58999633789062,184.83999633789062,184.58999633789062,184.83999633789062,2663,EXPE,184.6945007324219,184.54839080810547,-490.1866921972236
2025-01-06 16:12:00+00:00,184.66000366210938,184.76499938964844,184.5,184.58999633789062,4345,EXPE,184.64100036621093,184.5255908203125,-634.1421659843694
2025-01-06 16:14:00+00:00,184.64999389648438,184.83999633789062,184.5399932861328,184.5399932861328,6121,EXPE,184.58099975585938,184.49769073486328,-2888.03389830509
2025-01-06 16:16:00+00:00,184.89999389648438,185.0,184.61000061035156,184.72500610351562,8398,EXPE,184.5969985961914,184.47564056396484,418.92527218739696
2025-01-06 16:18:00+00:00,184.88999938964844,184.9600067138672,184.88999938964844,184.89999389648438,1003,EXPE,184.63299865722655,184.46564056396485,2083.418107833165
2025-01-06 16:20:00+00:00,184.89500427246094,184.91000366210938,184.82000732421875,184.83999633789062,1661,EXPE,184.6624984741211,184.4609405517578,-296.6634453995219
2025-01-06 16:22:00+00:00,184.6510009765625,184.8300018310547,184.6510009765625,184.8300018310547,6182,EXPE,184.67759857177734,184.45596069335937,-139.4003464438557
2025-01-06 16:24:00+00:00,184.5399932861328,184.67640686035156,184.5399932861328,184.63999938964844,2632,EXPE,184.69159851074218,184.449560546875,-417.4778761061947
2025-01-06 16:26:00+00:00,184.53199768066406,184.5399932861328,184.53199768066406,184.5399932861328,1107,EXPE,184.70979766845704,184.4420004272461,41773.28244274861
2025-01-06 16:28:00+00:00,184.5500030517578,184.5749969482422,184.4499969482422,184.5500030517578,8543,EXPE,184.68579864501953,184.43300048828124,-1565.9139456820255
2025-01-06 16:30:00+00:00,184.88999938964844,184.88999938964844,184.49000549316406,184.49000549316406,8488,EXPE,184.7157989501953,184.44100036621094,287.94945029148244
2025-01-06 16:32:00+00:00,184.75999450683594,185.0,184.72999572753906,184.92999267578125,7759,EXPE,184.72579803466797,184.44210021972657,311.94422074344084
2025-01-06 16:34:00+00:00,184.7050018310547,184.81500244140625,184.6300048828125,184.74000549316406,4085,EXPE,184.731298828125,184.4438003540039,316.3421448527832
2025-01-06 16:36:00+00:00,184.57000732421875,184.7050018310547,184.5500030517578,184.7050018310547,1613,EXPE,184.69830017089845,184.44870056152342,-310.4806825275716
2025-01-06 16:38:00+00:00,184.67999267578125,184.67999267578125,184.67999267578125,184.67999267578125,1261,EXPE,184.67729949951172,184.4584002685547,881.1461512377074
2025-01-06 16:40:00+00:00,184.3000030517578,184.6699981689453,184.27999877929688,184.6699981689453,7136,EXPE,184.6177993774414,184.45456024169923,-200.83075488492352
2025-01-06 16:42:00+00:00,183.75999450683594,184.36500549316406,183.75,184.36500549316406,15159,EXPE,184.52869873046876,184.43196014404296,-81.23510552574282
2025-01-06 16:44:00+00:00,183.9149932861328,184.1649932861328,183.8800048828125,183.8800048828125,8465,EXPE,184.46619873046876,184.42466003417968,-63.7553638095828
2025-01-06 16:46:00+00:00,184.10000610351562,184.11000061035156,183.9199981689453,183.9199981689453,1452,EXPE,184.4229995727539,184.43146026611328,-102.91271512178159
2025-01-06 16:48:00+00:00,184.10000610351562,184.19329833984375,184.0,184.19329833984375,2157,EXPE,184.37799987792968,184.4377603149414,-101.63528531122242
2025-01-06 16:50:00+00:00,184.17999267578125,184.17999267578125,184.05999755859375,184.10000610351562,1217,EXPE,184.30699920654297,184.45046020507812,-188.52857327977205
2025-01-06 16:52:00+00:00,184.17999267578125,184.22999572753906,184.08700561523438,184.08700561523438,2739,EXPE,184.2489990234375,184.46865997314453,-246.66214555164674
2025-01-06 16:54:00+00:00,184.0500030517578,184.1999969482422,184.02000427246094,184.1300048828125,2063,EXPE,184.18349914550782,184.4873599243164,-184.23135367861215
2025-01-06 16:56:00+00:00,184.125,184.125,184.125,184.125,1222,EXPE,184.13899841308594,184.5096600341797,-222.34588733709114
2025-01-06 16:58:00+00:00,184.10499572753906,184.1300048828125,183.89999389648438,184.125,10401,EXPE,184.0814987182617,184.51855987548828,-77.06721611009601
2025-01-06 17:00:00+00:00,184.00999450683594,184.10499572753906,184.00999450683594,184.10499572753906,2893,EXPE,184.05249786376953,184.52935974121092,-80.6640625
2025-01-06 17:02:00+00:00,184.06500244140625,184.11000061035156,184.05999755859375,184.0850067138672,2515,EXPE,184.08299865722657,184.52745971679687,-103.12328636482843
2025-01-06 17:04:00+00:00,184.10000610351562,184.1199951171875,184.0399932861328,184.1199951171875,2853,EXPE,184.10149993896485,184.51835998535157,-147.87026816440488
2025-01-06 17:06:00+00:00,184.10000610351562,184.17039489746094,184.02999877929688,184.02999877929688,1967,EXPE,184.10149993896485,184.51606018066406,-100.86556169429099
2025-01-06 17:08:00+00:00,184.38999938964844,184.49000549316406,184.10000610351562,184.10000610351562,7856,EXPE,184.13049926757813,184.5193600463867,972.2617836554762
2025-01-06 17:10:00+00:00,184.25,184.3300018310547,184.1999969482422,184.25,2199,EXPE,184.1375,184.52015991210936,178.56942671192354
2025-01-06 17:12:00+00:00,184.23500061035156,184.25999450683594,184.16000366210938,184.25,2690,EXPE,184.14300079345702,184.51385986328125,224.99523173755478
2025-01-06 17:14:00+00:00,184.24000549316406,184.24000549316406,184.16000366210938,184.23500061035156,1196,EXPE,184.16200103759766,184.50626007080078,385.71117166212525
2025-01-06 17:16:00+00:00,184.24000549316406,184.24000549316406,184.24000549316406,184.24000549316406,1533,EXPE,184.17350158691406,184.49426025390625,385.71117166212525
2025-01-06 17:18:00+00:00,184.2449951171875,184.2449951171875,184.2053985595703,184.24000549316406,2278,EXPE,184.1875015258789,184.4823602294922,715.352112676056
2025-01-06 17:20:00+00:00,183.97000122070312,184.2700958251953,183.97000122070312,184.2449951171875,4265,EXPE,184.18350219726562,184.4648602294922,-221.43583781427122
2025-01-06 17:22:00+00:00,183.9199981689453,183.97999572753906,183.9199981689453,183.97999572753906,1031,EXPE,184.16900177001952,184.44636016845703,-357.6760563380283
2025-01-06 17:24:00+00:00,183.92999267578125,183.96499633789062,183.83999633789062,183.96499633789062,2304,EXPE,184.1520004272461,184.42765991210936,-205.11737089201876
2025-01-06 17:26:00+00:00,183.83999633789062,183.9250030517578,183.77999877929688,183.9250030517578,2696,EXPE,184.1259994506836,184.4105596923828,-150.94144066332697
